step,gid,role,cut_share_cumulative
1,100000004135268100,transit,0.0338513660238
2,100000006518161100,coordinator,0.0495234898336
3,100000001872484100,peripheral,0.0694763617243
4,100000003835149100,peripheral,0.0803711828563
5,100000008748408100,distributor,0.0925896487977
6,100000008723830100,transit,0.105420169805
7,100000001530983100,coordinator,0.116656849328
8,100000001162560100,distributor,0.126421202743
9,100000000274067100,peripheral,0.134562335928
10,100000007544358100,transit,0.143093527649
